FID,name,year,acres,date,parentid
1697,Grant Creek,2000,19247.5,6/13/2000 0:00,1697
1698,HSL W 37,1990,6803.9,7/20/1990 0:00,1698
1699,Cosna River,2005,21194.3,6/17/2005 0:00,1699
1700,BAKER CREEK,1969,9508.3,9/19/1969 0:00,1700
1701,FOSSIL RIDGE,1957,2233.5,6/10/1957 0:00,1701
1702,SUNSHINE MT.,1957,13115.5,6/10/1957 0:00,1702
1703,BTT S 49,1994,8283.1,6/8/1994 0:00,1703
1704,WILSON,1968,2962.7,7/22/1968 0:00,1704
1705,HOLIKACHUK,1957,430966.5,6/11/1957 0:00,1705
1706,BLAIR LAKES #2,1957,1452.2,6/11/1957 0:00,1706
1707,Su River,2007,8489.9,6/20/2007 0:00,1707
1708,BETHEL 1/2S,1957,2290.8,7/12/1957 0:00,1708
1709,BLEAK SPOT,1968,1527.4,7/9/1968 0:00,1709
1710,NIX,1969,26675.1,6/29/1969 0:00,1710
1711,Mile 245 ARR,1943,3484.2,5/14/1943 0:00,1711
1712,132460,1991,75207.3,6/26/1991 0:00,1712
1713,CANOE MTN.,1990,16452.8,7/23/1990 0:00,1713
1714,EIGHT MILE,1990,12660.3,7/24/1990 0:00,1714
1715,Iliamna Lake,1943,5999.1,6/19/1943 0:00,1715
1716,Nowitna #3,1953,99379.2,6/19/1953 0:00,1716
1717,BTT SW 53,1990,27858.3,7/19/1990 0:00,1717
1718,VICTORIA CREEK,1957,9395.5,6/27/1957 0:00,1718
1719,TOLOVANA SW-20,1957,3890.6,7/2/1957 0:00,1719
1720,WOOD RIVER BUTTES W-10,1957,12764.9,7/6/1957 0:00,1720
1721,ROLLING CREEK #1,1957,152363.2,7/6/1957 0:00,1721
1722,Discovery South,2008,3496.3,7/6/2008 0:00,1722
1723,John River,2008,1660.5,7/8/2008 0:00,1723
1724,Prospect Creek,2008,1685.1,7/9/2008 0:00,1724
1725,Paldo,2007,4605.4,6/2/2007 0:00,1725
1726,Mt.Terrel,1999,11670.7,6/12/1999 0:00,1726
1727,WEST FORK,1998,6731.6,6/30/1998 0:00,1727
1728,MHM NW 42,1995,1237.3,5/12/1995 0:00,1728
1729,Holtnakatna Creek,2005,194015.4,7/25/2005 0:00,1729
1730,FYU W 46,1975,73072.7,7/13/1975 0:00,1730
1731,Three Lakes,2008,35280.6,6/3/2008 0:00,1731
1732,Erickson Creek,2003,117156.7,6/17/2003 0:00,1732
1733,LOMAN,1972,4141.8,7/15/1972 0:00,1733
1734,JOHNHANSEN LAKE,1968,7526.9,8/9/1968 0:00,1734
1735,CAMELBACK,1985,3736.1,8/1/1985 0:00,1735
1736,FISH CREEK #1,1957,39461.8,6/12/1957 0:00,1736
1737,KOYUKUK,1973,11945.2,7/1/1973 0:00,1737
1738,OUR,1968,5406.5,7/24/1968 0:00,1738
1739,OK OK LAKE,1971,8583.7,7/12/1971 0:00,1739
1740,SLAM,1972,12891.8,7/11/1972 0:00,1740
1741,BUCKLAND,1970,11722.2,7/4/1970 0:00,1741
1742,MEANDER,1970,3786.1,7/4/1970 0:00,1742
1743,TANGO CREEK,2000,28906.2,6/25/2000 0:00,1743
1744,MT HURST N-10,1959,3099.3,6/22/1959 0:00,1744
1745,POIGNANT,1972,5630.1,7/14/1972 0:00,1745
1746,BEAVER MT #2,1957,2886.5,6/29/1957 0:00,1746
1747,SIX MILE,1971,44876.4,6/28/1971 0:00,1747
1748,BIG W 17,1983,33533.8,5/9/1983 0:00,1748
1749,232414,1992,39834.9,7/19/1992 0:00,1749
1750,Sheenjek,1950,153868.4,12/31/1950 0:00,1750
1751,FYU W 56,1994,2792,7/3/1994 0:00,1751
1752,TAL W 33,1993,1765.2,6/19/1993 0:00,1752
1753,31036,1990,4067.4,7/3/1990 0:00,1753
1754,BEAVER LOG,1968,1261.6,7/7/1968 0:00,1754
1755,East Fork Yuki River,2005,79209.3,7/30/2005 0:00,1755
1756,Camp Creek,2005,97331.7,6/28/2005 0:00,1756
1757,Little Black River,1950,1366729.1,5/24/1950 0:00,1757
1758,DCK SW 50,1994,17025.6,6/8/1994 0:00,1758
1759,BTT NE 26,1994,6117.9,6/8/1994 0:00,1759
1760,Gould Fire,1950,1959.5,5/29/1950 0:00,1760
1761,Tyonek,2014,1905.6,5/19/2014 0:00,1761
1762,Funny River,2014,196610.1,5/19/2014 0:00,1762
1763,Kogoluktuk River,2012,1689,6/6/2012 0:00,1763
1764,North Aniuk River,2011,1959.1,7/8/2011 0:00,1764
1765,Ladue Fork,2013,7964.5,6/25/2013 0:00,1765
1766,Reindeer River,2010,1502.3,5/28/2010 0:00,1766
1767,West Fork,2013,2243.5,7/13/2013 0:00,1767
1768,Hochandochtla Mountain,2011,7086.2,5/25/2011 0:00,1768
1769,MYSTERY,2010,18951.7,5/27/2010 0:00,1769
1770,Slope,1972,2489.4,7/7/1972 0:00,1770
1771,Applegate,2010,17445.6,5/26/2010 0:00,1771
1772,Bonnifield #1,2011,8592.8,7/9/2011 0:00,1772
1773,TATALINA RIVER,2011,3268,5/30/2011 0:00,1773
1774,Gilahina,2011,1259.6,5/31/2011 0:00,1774
1775,Gisasa River,2011,3154.6,5/25/2011 0:00,1775
1776,Hastings,2011,23110.3,5/30/2011 0:00,1776
1777,Sinyalak Creek,2011,2961.9,7/8/2011 0:00,1777
1778,MCCORD CREEK,2011,7716.9,5/29/2011 0:00,1778
1779,Chitanana,2013,3630.3,8/3/2013 0:00,1779
1780,Bull Creek,2011,1896.7,5/27/2011 0:00,1780
1781,Little Swift Creek,2015,1535.9,6/20/2015 0:00,1781
1782,432225,1994,12902.3,6/9/1994 0:00,1782
1783,Waterfall,2010,1252.1,6/3/2010 0:00,1783
1784,Louie Creek,2010,17837.2,6/23/2010 0:00,1784
1785,Hogatza River,2012,24179.4,6/16/2012 0:00,1785
1786,Stuart Creek 1,2010,1126.6,4/18/2010 0:00,1786
1787,Chitanatala,2010,36632.7,5/26/2010 0:00,1787
1788,Big Duck Lake,2010,3546.4,7/6/2010 0:00,1788
1789,Sandless Lake,2013,59869,6/25/2013 0:00,1789
1790,Hoholitna,2013,2829.3,6/26/2013 0:00,1790
1791,WINDY POINT,1994,3035.3,8/30/1994 0:00,1791
1792,Big Timber Creek,2013,8615.2,6/27/2013 0:00,1792
1793,Kitalitna,2011,24524.8,5/25/2011 0:00,1793
1794,Crater Creek,2013,1634,8/4/2013 0:00,1794
1795,Lost River,2010,15331.4,5/31/2010 0:00,1795
1796,Pahl River,2012,3887.6,6/6/2012 0:00,1796
1797,Allakaket,2012,2709.5,6/20/2012 0:00,1797
1798,Shaktoolik River,2013,11699.5,6/20/2013 0:00,1798
1799,Bear Creek,2013,3530.2,6/21/2013 0:00,1799
1800,North Fork,2015,4054.4,6/21/2015 0:00,1800
1801,Big Salt,2013,3824.2,6/20/2013 0:00,1801
1802,Dempsey Creek,2010,12200,6/4/2010 0:00,1802
1803,Ray River 2,2013,22835.7,6/20/2013 0:00,1803
1804,Uyon Lakes,2012,3894.1,7/6/2012 0:00,1804
1805,BURNT MT,1966,4435.7,8/5/1966 0:00,1805
1806,HORSEMAN LAKE,1971,4661.4,6/26/1971 0:00,1806
1807,Klymunget Cake,1971,2475.3,6/25/1971 0:00,1807
1808,Chitsia Mountain,2011,2534.9,7/9/2011 0:00,1808
1809,Old Woman River,2013,5121.8,6/20/2013 0:00,1809
1810,Ridge Top,2013,2468,6/20/2013 0:00,1810
1811,Castle Rocks,2013,12934.4,7/6/2013 0:00,1811
1812,Lloyd,2011,8817.5,5/31/2011 0:00,1812
1813,Peavey Creek,2010,30238.9,7/1/2010 0:00,1813
1814,Bitter Creek,2013,2256,5/31/2013 0:00,1814
1815,Little Mud,2013,26405.9,6/24/2013 0:00,1815
1816,Sethkokna,2015,3900.2,6/25/2015 0:00,1816
1817,Beaver Log Lakes,2013,64416.1,6/22/2013 0:00,1817
1818,BATZA SLOUGH,1968,5755.9,7/26/1968 0:00,1818
1819,Sulatna River,2013,48078.1,6/21/2013 0:00,1819
1820,East Volkmar,2011,58078.7,5/26/2011 0:00,1820
1821,Kokrines Hills,2012,3719.6,6/5/2012 0:00,1821
1822,Wolf Creek,2004,237178.4,6/8/2004 0:00,1822
1823,Bear Creek #4,2012,8794.9,6/23/2012 0:00,1823
1824,Nikubuma Lake,2013,12852.9,6/19/2013 0:00,1824
1825,Chulitna,2013,2446.8,6/19/2013 0:00,1825
1826,Joint Lake,2013,4334.5,6/29/2013 0:00,1826
1827,Sourdough Creek,2011,1187.9,5/29/2011 0:00,1827
1828,Skinny`s Road,2013,1795,6/25/2013 0:00,1828
1829,Timber Creek,2013,2602.2,6/20/2013 0:00,1829
1830,Discovery Creek,2013,13473.8,7/1/2013 0:00,1830
1831,Bogus Creek,2016,4368.8,7/14/2016 0:00,1831
1832,Yokneda Lake,2016,3264.8,7/14/2016 0:00,1832
1833,Toklat River East,2013,33279.3,6/26/2013 0:00,1833
1834,Delta Creek # 2,2012,3184.5,6/21/2012 0:00,1834
1835,CHITANANA,2011,3051.3,5/30/2011 0:00,1835
1836,Lime Hills,2013,201808.2,5/31/2013 0:00,1836
1837,Chandalar,2013,15528.4,6/23/2013 0:00,1837
1838,Otter Creek,2012,4753.2,6/5/2012 0:00,1838
1839,Moving River,2013,34175.7,6/22/2013 0:00,1839
1840,Dry Creek,2012,47154.4,6/23/2012 0:00,1840
1841,Doestock Creek,2013,29098.9,5/30/2013 0:00,1841
1842,Nation River,2013,11311.3,6/20/2013 0:00,1842
1843,Uvgoon Creek #1,2012,36160.5,7/3/2012 0:00,1843
1844,North Porcupine,2013,23355.5,6/29/2013 0:00,1844
1845,Chandalar River,2016,2847.8,6/29/2016 0:00,1845
1846,South Fork,2016,2610,7/14/2016 0:00,1846
1847,TUNALIK,1971,20287.7,6/24/1971 0:00,1847
1848,Tagagawik,2009,9080.8,6/18/2009 0:00,1848
1849,Card Street,2015,8874.6,6/15/2015 0:00,1849
1850,Apoon,2015,15031.9,6/21/2015 0:00,1850
1851,Sockeye,2015,7264.9,6/14/2015 0:00,1851
1852,Salmon River,2015,15740.4,7/23/2015 0:00,1852
1853,Copenhagen Creek,2015,5166.7,6/22/2015 0:00,1853
1854,Banddana Creek North,2015,3412.1,6/24/2015 0:00,1854
1855,Pitmik River,2016,1092.3,7/15/2016 0:00,1855
1856,Gweek River,2016,1320.1,7/13/2016 0:00,1856
1857,Kobe,2015,8514.8,6/20/2015 0:00,1857
1858,North Fork Flats,2015,15402.8,6/23/2015 0:00,1858
1859,Tobatokh,2015,54036,6/22/2015 0:00,1859
1860,Jackson,2015,7377.4,6/24/2015 0:00,1860
1861,Aropuk Lake,2016,2203.4,6/2/2016 0:00,1861
1862,Village Creek,2015,14998.9,6/21/2015 0:00,1862
1863,Owhat River 2,2016,1088.4,7/13/2016 0:00,1863
1864,Seventymile,2015,2902.3,5/24/2015 0:00,1864
1865,Puk Palik Lake Junior,2015,1009.2,6/29/2015 0:00,1865
1866,Bogus Creek,2015,25259.8,5/31/2015 0:00,1866
1867,King Creek,2015,2238.8,6/21/2015 0:00,1867
1868,Mauneluk River 2,2016,34590.8,7/2/2016 0:00,1868
1869,Goodpaster Valley,2015,1000,6/20/2015 0:00,1869
1870,Bonanza,2016,3965.6,7/11/2016 0:00,1870
1871,Hogatza River,2016,52334.7,6/26/2016 0:00,1871
1872,Iniakuk Lake,2016,36751.9,6/25/2016 0:00,1872
1873,Rock Creek,2015,9177.9,6/23/2015 0:00,1873
1874,Basket Creek #2,2015,1035.6,6/20/2015 0:00,1874
1875,Little South Fork,2015,2737.7,6/22/2015 0:00,1875
1876,Browns,2015,20729.9,6/25/2015 0:00,1876
1877,Little Kokwok,2015,1930,7/10/2015 0:00,1877
1878,Izavlknek River,2015,22613.3,6/23/2015 0:00,1878
1879,Anakshek Pass,2015,15001.8,6/21/2015 0:00,1879
1880,Big Mud,2016,44539.9,6/1/2016 0:00,1880
1881,Igokluk Slough,2015,5645.3,6/21/2015 0:00,1881
1882,Gemuk River,2015,1075.8,6/23/2015 0:00,1882
1883,Soda Creek,2015,16943.9,6/21/2015 0:00,1883
1884,Kuyukutuk River,2016,21304.5,6/3/2016 0:00,1884
1885,Tetlin Hills,2015,1878.6,6/20/2015 0:00,1885
1886,Crazy Slough,2015,8019.8,6/20/2015 0:00,1886
1887,Cod Lake 1,2015,2416.1,6/19/2015 0:00,1887
1888,Puk Palik Lake,2015,14413,6/23/2015 0:00,1888
1889,George River,2016,3733.3,7/14/2016 0:00,1889
1890,John Reek Creek 3,2015,1542.5,6/25/2015 0:00,1890
1891,Melozitna 2,2015,3356.5,6/23/2015 0:00,1891
1892,Oskawalik River,2015,2049.1,6/19/2015 0:00,1892
1893,American Creek,2015,2770.2,6/24/2015 0:00,1893
1894,Reed River,2016,1443.8,7/2/2016 0:00,1894
1895,Deepbank Creek,2015,31917,6/26/2015 0:00,1895
1896,Copenhagen,2015,3342.3,7/4/2015 0:00,1896
1897,Kokwok River,2015,1825,6/20/2015 0:00,1897
1898,Gechiak Lake,2015,18794.9,6/22/2015 0:00,1898
1899,Old Village,2015,1928,6/21/2015 0:00,1899
1900,Hard Luck,2015,12923.7,6/22/2015 0:00,1900
1901,Bruno Creek,2015,15131.6,6/21/2015 0:00,1901
1902,Chuilnuk River,2015,1142.6,7/10/2015 0:00,1902
1903,Eden Creek,2015,45995.7,6/25/2015 0:00,1903
1904,Our,2015,1563.9,7/12/2015 0:00,1904
1905,Honhosa River,2016,10912.8,7/14/2016 0:00,1905
1906,North Aniak,2015,55704,6/22/2015 0:00,1906
1907,Warren Creek,2016,3492,6/10/2016 0:00,1907
1908,Dulbi River,2016,2730.5,6/25/2016 0:00,1908
1909,Big Creek 3,2015,1396.7,6/23/2015 0:00,1909
1910,Stuyahok River,2015,49446,6/24/2015 0:00,1910
1911,Hawk River,2015,15814.3,6/24/2015 0:00,1911
1912,Kokrine,2015,4088.6,6/20/2015 0:00,1912
1913,Sea,2015,111193.9,6/19/2015 0:00,1913
1914,Medfra,2016,7930.3,5/29/2016 0:00,1914
1915,Berry Creek,2016,1676.6,5/29/2016 0:00,1915
1916,Chitanana River,2015,43199.9,6/21/2015 0:00,1916
1917,OTZ NNW 38,1977,113612.3,7/25/1977 0:00,1917
1918,King Salmon River 1,2015,2108.9,6/22/2015 0:00,1918
1919,Melozitna,2015,1728.2,6/20/2015 0:00,1919
1920,Dagislakhna,2015,9751.2,6/22/2015 0:00,1920
1921,Nethkahati,2016,2134.3,6/29/2016 0:00,1921
1922,Kutokbuna Lake,2015,11631.4,6/21/2015 0:00,1922
1923,Kilo,2015,25117,6/20/2015 0:00,1923
1924,Foraker,2015,1949.4,7/6/2015 0:00,1924
1925,Rock,2015,142650.4,6/19/2015 0:00,1925
1926,Sushgitit Hills,2015,276038.2,6/21/2015 0:00,1926
1927,Stink River,2015,2468.2,6/19/2015 0:00,1927
1928,Iditarod River,2015,75135.5,6/20/2015 0:00,1928
1929,High Creek,2016,14864.2,6/26/2016 0:00,1929
1930,SHALER,1971,64425.8,6/24/1971 0:00,1930
1931,Wasky 2,2005,64092.6,7/6/2005 0:00,1931
1932,Mauneluk River,2016,4424.3,7/1/2016 0:00,1932
1933,NOA,1971,20610.6,6/24/1971 0:00,1933
1934,Kwethluk River # 2,2015,23241.5,6/24/2015 0:00,1934
1935,Iron,2015,4148.5,6/21/2015 0:00,1935
1936,Coffee Creek,2015,6760.1,6/20/2015 0:00,1936
1937,Tip Creek,2015,3409.7,6/25/2015 0:00,1937
1938,Trail Creek,2015,29501.4,6/23/2015 0:00,1938
1939,Doestock Creek,2016,1261.3,7/13/2016 0:00,1939
1940,Mission Creek,2015,2369.6,6/22/2015 0:00,1940
1941,Rainbow,2015,14881.4,6/24/2015 0:00,1941
1942,Bare Mt,2015,33362.6,6/21/2015 0:00,1942
1943,Reindeer River,2015,13766.3,6/20/2015 0:00,1943
1944,Illinois Mine,2015,25687.5,6/22/2015 0:00,1944
1945,Fork,2015,1694.2,6/22/2015 0:00,1945
1946,Mingvk Lake,2015,21698,7/19/2015 0:00,1946
1947,Ophir Creek,2015,30928.4,6/23/2015 0:00,1947
1948,Sethkokna 2,2015,11357.2,7/4/2015 0:00,1948
1949,Khotol,2015,9453.2,6/22/2015 0:00,1949
1950,Long Lake,2015,27066.1,6/20/2015 0:00,1950
1951,Reindeer River,2016,8021.4,7/14/2016 0:00,1951
1952,Israthorak Creek,2016,6042.1,7/13/2016 0:00,1952
1953,Dishna River,2015,4480.1,6/23/2015 0:00,1953
1954,Fish Creek,2015,7464.2,6/20/2015 0:00,1954
1955,Wrench Lake,2015,6771.4,6/22/2015 0:00,1955
1956,Egavik,2015,10906.6,6/20/2015 0:00,1956
1957,Harper Bend,2015,43377.9,6/21/2015 0:00,1957
1958,Little Moose,2015,4897,6/20/2015 0:00,1958
1959,Dennis,2015,3394.6,7/6/2015 0:00,1959
1960,Can Creek,2015,48728.3,6/1/2015 0:00,1960
1961,Kaiyuh,2015,6500.8,6/19/2015 0:00,1961
1962,Fox Creek,2015,5797.7,6/20/2015 0:00,1962
1963,Wulik River,2015,1744.7,7/24/2015 0:00,1963
1964,Wapoo,2015,10109.2,6/26/2015 0:00,1964
1965,Tozitna,2015,78212.5,6/21/2015 0:00,1965
1966,Hook Creek,2016,8606.4,7/13/2016 0:00,1966
1967,Chilikadrotna River,2016,1493.9,7/15/2016 0:00,1967
1968,Yukon Creek 2,2015,7563.2,6/22/2015 0:00,1968
1969,Fog River,2015,35579.7,6/20/2015 0:00,1969
1970,Camp Creek,2015,13556.3,6/21/2015 0:00,1970
1971,Chichitnok River,2015,3879,6/22/2015 0:00,1971
1972,Nulato River 3,2015,1108.8,6/21/2015 0:00,1972
1973,Innoko River,2015,8660.9,6/3/2015 0:00,1973
1974,South Fork,2015,4692.5,6/22/2015 0:00,1974
1975,Little Black,2015,2060.1,7/5/2015 0:00,1975
1976,Huslia River,2016,6505.5,7/14/2016 0:00,1976
1977,Birch Creek 2,2015,16107,6/14/2015 0:00,1977
1978,Foraker River,2015,1043.1,6/21/2015 0:00,1978
1979,Moose Point,2015,13775.7,6/20/2015 0:00,1979
1980,Pontag Creek,2015,39042.9,6/23/2015 0:00,1980
1981,Chitanatala,2015,12461.1,6/20/2015 0:00,1981
1982,Blazo,2015,121339.2,6/19/2015 0:00,1982
1983,Anaconda Creek,2015,1091,6/20/2015 0:00,1983
1984,Chahalie Lake,2015,6246.1,6/23/2015 0:00,1984
1985,Titna,2015,30678.1,6/25/2015 0:00,1985
1986,Sischu,2015,8236.1,6/29/2015 0:00,1986
1987,Blind River,2015,60806.6,6/22/2015 0:00,1987
1988,Spicer Creek,2015,98247.1,6/19/2015 0:00,1988
1989,Whitefish Lake 1,2015,67777.3,5/31/2015 0:00,1989
1990,Whitefish Lake 2,2015,1000.4,5/31/2015 0:00,1990
1991,Wrongtrail,2015,5609.4,6/22/2015 0:00,1991
1992,Lawson,2015,31089.9,6/29/2015 0:00,1992
1993,Iditarod River #2,2015,6110.1,6/25/2015 0:00,1993
1994,Kuka Creek 4,2015,41628.2,6/22/2015 0:00,1994
1995,Quinn Creek,2015,4946.7,6/20/2015 0:00,1995
1996,Isahultila,2015,149359.3,6/21/2015 0:00,1996
1997,Chisana River  2,2015,39639.7,6/9/2015 0:00,1997
1998,Willow Creek,2015,5183.6,6/19/2015 0:00,1998
1999,Carlson Lake,2015,46545.3,6/25/2015 0:00,1999
2000,Big Mud River 1,2015,103967.5,6/21/2015 0:00,2000
2001,West Fork,2015,59532.5,6/19/2015 0:00,2001
2002,Dulbi River,2015,54503,6/19/2015 0:00,2002
2003,Hamlin Creek,2015,34851.3,6/22/2015 0:00,2003
2004,Our Creek,2015,30736.8,6/23/2015 0:00,2004
2005,Holtnakatna,2015,223154.1,6/22/2015 0:00,2005
2006,Black Sand,2015,12880.7,6/25/2015 0:00,2006
2007,Munsatli,2015,20942.8,6/22/2015 0:00,2007
2008,Lonestar,2015,6940.5,6/26/2015 0:00,2008
2009,McCormick,2015,21867.2,6/19/2015 0:00,2009
2010,Frisky Creek,2015,4156.6,7/2/2015 0:00,2010
2011,Beady,2015,4861.3,6/20/2015 0:00,2011
2012,Dennison Fork,2015,10708,6/22/2015 0:00,2012
2013,Gentian,2015,19920.7,6/22/2015 0:00,2013
2014,Beaver Creek,2015,3141.5,6/26/2015 0:00,2014
2015,Robinson Fork,2015,1199.3,6/20/2015 0:00,2015
2016,Sulukna,2015,16703.5,6/23/2015 0:00,2016
2017,Golsovia #3,2015,5432.1,6/20/2015 0:00,2017
2018,Tagagawik River,2015,1345.6,6/22/2015 0:00,2018
2019,Shaktoolik,2015,5459,6/22/2015 0:00,2019
2020,Derby Creek,2015,10481.2,6/20/2015 0:00,2020
2021,Deep Creek,2015,11589.7,6/27/2015 0:00,2021
2022,Klikitarik,2015,7680,6/20/2015 0:00,2022
2023,Nulato River 2,2015,4904,6/21/2015 0:00,2023
2024,Christian River #2,2015,15716.3,6/23/2015 0:00,2024
2025,Nulato River,2015,1003.5,6/21/2015 0:00,2025
2026,Nulato,2015,42402.8,6/21/2015 0:00,2026
2027,Sisters,2015,20049.2,6/20/2015 0:00,2027
2028,Golsovia River,2015,2697.9,6/20/2015 0:00,2028
2029,Bear Creek,2016,1033.1,7/15/2016 0:00,2029
2030,Glacier,2015,47333.2,6/23/2015 0:00,2030
2031,Cod Lake 3,2015,10661.1,7/6/2015 0:00,2031
2032,Steamboat Creek,2016,19719,7/15/2016 0:00,2032
2033,Folger Creek,2016,3077,7/13/2016 0:00,2033
2034,Ladue River,2009,23528.2,6/1/2009 0:00,2034
2035,Big Creek Two,2015,312918.2,6/22/2015 0:00,2035
2036,Holonada,2015,48176.1,6/22/2015 0:00,2036
2037,Moose Creek,2015,2865.4,6/25/2015 0:00,2037
2038,Siruk Creek,2016,1832,6/26/2016 0:00,2038
2039,Smith Creek,2016,5006.6,7/13/2016 0:00,2039
2040,White Lake,2015,6135.2,6/22/2015 0:00,2040
2041,2016 Louise Creek,2016,3131.8,5/3/2016 0:00,2041
2042,Bedrock Creek,2016,6548.5,7/3/2016 0:00,2042
2043,Hog,2016,58565.3,7/5/2016 0:00,2043
2044,Dulbi Flats,2016,58137.8,6/26/2016 0:00,2044
2045,Grouch,2015,13789.6,6/19/2015 0:00,2045
2046,Dome Creek,2015,2695.2,6/21/2015 0:00,2046
2047,Flint Creek,2015,35748.9,6/23/2015 0:00,2047
2048,Blair,2015,37597.3,6/20/2015 0:00,2048
2049,Baker,2015,24179.1,6/21/2015 0:00,2049
2050,Baathbakdizuni Creek,2015,32327.8,7/20/2015 0:00,2050
2051,Camp Creek,2016,1256.6,7/13/2016 0:00,2051
2052,Kuka Creek 3,2015,13932,6/22/2015 0:00,2052
2053,Aggie Creek,2015,31698.6,6/22/2015 0:00,2053
2054,Lower Reindeer Peak,2015,29047.7,6/22/2015 0:00,2054
2055,Kuka Creek 1,2015,9405.9,6/22/2015 0:00,2055
2056,Yukon Creek,2015,21492.9,6/22/2015 0:00,2056
2057,Bear Creek,2015,5774.7,6/22/2015 0:00,2057
2058,Hay Slough,2015,91444.1,6/21/2015 0:00,2058
2059,Hardpac Creek,2015,50773.7,6/21/2015 0:00,2059
2060,Munsatli 2,2015,100524,7/4/2015 0:00,2060
2061,Bear Island Lake,2015,2362.6,7/11/2015 0:00,2061
2062,Lloyd,2015,66267.9,6/23/2015 0:00,2062
2063,Falco,2015,4488.6,6/22/2015 0:00,2063
2064,Bering Creek,2015,112806.8,6/21/2015 0:00,2064
2065,Twin Creeks,2015,4861.9,8/27/2015 0:00,2065
2066,Torment Creek,2015,82432.2,6/20/2015 0:00,2066
2067,Three Day,2015,97303.3,6/19/2015 0:00,2067
2068,Big Creek,2016,2157.3,7/15/2016 0:00,2068
2069,Cape Espenbery,2015,1593.6,6/23/2015 0:00,2069
2070,Mt Schwatka,2015,11542.9,6/23/2015 0:00,2070
2071,AMBLER,1971,26953,6/24/1971 0:00,2071
2072,Wasky,2005,9171.9,7/3/2005 0:00,2072
2073,Kalakaket Creek,2015,1743.1,6/21/2015 0:00,2073
2074,Banddana Creek,2015,12409.5,6/19/2015 0:00,2074
2075,Paradise Fork,2016,1147.2,7/14/2016 0:00,2075
2076,Timber Creek,2016,9411.1,7/14/2016 0:00,2076
2077,Totson,2015,4223.7,6/22/2015 0:00,2077
2078,Mid Salcha,2016,1049.3,7/14/2016 0:00,2078
2079,South Fork George River,2016,1110,7/14/2016 0:00,2079
2080,Old Woman,2015,49182.4,6/20/2015 0:00,2080
2081,Melozitna,2016,1066.7,6/25/2016 0:00,2081
2082,Scow Harry # 2.,2015,4249.7,6/24/2015 0:00,2082
2083,Owhat River,2015,39550.4,6/24/2015 0:00,2083
2084,Poorman Creek,2015,16869.2,6/26/2015 0:00,2084
2085,Honeymoon,2015,2807.2,6/20/2015 0:00,2085
2086,Ungalik,2015,8289.9,6/23/2015 0:00,2086
2087,Little Mud River,2015,9527.4,6/24/2015 0:00,2087
2088,Christian River #3,2015,6659.6,6/23/2015 0:00,2088
2089,Maybe Creek,2015,8681,6/21/2015 0:00,2089
2090,Lost River,2015,52108.5,6/23/2015 0:00,2090
2091,Koyuk,2015,23271.6,6/22/2015 0:00,2091
2092,Ketlkede 3,2015,3932.2,6/22/2015 0:00,2092
2093,Selawik River,2015,8867.3,7/15/2015 0:00,2093
2094,Why Lake,2015,42766.9,6/19/2015 0:00,2094
2095,Healy Lake,2015,11473.6,6/16/2015 0:00,2095
2096,Allman Lake,2009,17904.2,6/13/2009 0:00,2096
2097,Nageethluk River,2009,5701.7,6/13/2009 0:00,2097
2098,Melogitna,2015,9592.8,6/25/2015 0:00,2098
2099,Michigan Creek,2015,9826.2,6/17/2015 0:00,2099
2100,Pauls Creek,2015,2518.6,6/20/2015 0:00,2100
2101,Rungun Creek,2015,1682.1,6/26/2015 0:00,2101
